date,data1,data2,data3,flag1,flag2
1-Dec-92,31.6323,6.5,68.58,0,0
1-Jan-93,31.7379,6.4,68.45,0,0
1-Feb-93,31.8687,6.4,68.29,0,0
1-Mar-93,32.03361,6.4,68.07,0,0
1-Apr-93,32.24548,6.3,67.99,0,0
1-May-93,32.53288,6.3,67.76,0,0
1-Jun-93,32.86612,6.4,67.47,0,0
1-Jul-93,33.19128,6.4,66.93,0,0
1-Aug-93,33.56585,6.3,66.95,0,0
1-Sep-93,34.03712,6.3,66.83,0,0
1-Oct-93,34.57698,6.3,66.77,0,0
1-Nov-93,35.10908,6.3,66.72,0,0
1-Dec-93,35.56896,6.2,66.63,0,0
1-Jan-94,36.00632,6.2,66.63,0,0
1-Feb-94,36.56444,6.2,66.65,0,0
1-Mar-94,37.36852,6.1,67.32,0,0
1-Apr-94,38.27924,5.9,67.42,0,0
1-May-94,39.02898,5.8,67.54,0,0
1-Jun-94,39.58701,5.8,67.61,0,0
1-Jul-94,40.14001,5.8,67.64,0,0
1-Aug-94,40.84918,5.8,67.68,0,0
1-Sep-94,41.78169,5.7,67.54,0,0
1-Oct-94,42.91478,5.6,67.79,0,0
1-Nov-94,44.06237,5.5,68.05,0,0
1-Dec-94,45.00343,5.4,68.31,0,0
1-Jan-95,45.77322,5.3,68.42,0,0
1-Feb-95,46.67729,5.3,68.32,0,0
1-Mar-95,47.90177,5.4,67.73,0,0
1-Apr-95,49.23245,5.5,67.41,0,0
1-May-95,50.33263,5.6,67.11,0,0
1-Jun-95,51.0402,5.6,66.92,0,0
1-Jul-95,51.6537,5.5,66.96,0,0
1-Aug-95,52.65709,5.5,67.02,0,0
1-Sep-95,53.92181,5.4,67.11,0,0
1-Oct-95,54.98707,5.3,66.97,0,0
1-Nov-95,55.65231,5.2,66.91,0,0
1-Dec-95,56.09926,5.1,66.85,0,0
1-Jan-96,56.57786,5,66.88,0,0
1-Feb-96,57.25003,4.9,66.9,0,0
1-Mar-96,57.91183,4.9,66.81,0,1
1-Apr-96,58.42295,4.8,66.69,0,1
1-May-96,58.88764,4.7,66.78,0,1
1-Jun-96,59.42103,4.6,67.02,0,1
1-Jul-96,60.09253,4.5,67.22,0,1
1-Aug-96,60.91051,4.4,67.54,0,1
1-Sep-96,61.82707,4.3,67.8,0,1
1-Oct-96,62.72758,4.3,68.26,0,1
1-Nov-96,63.46693,4.3,68.94,0,1
1-Dec-96,64.14939,4.3,69.21,0,1
1-Jan-97,65.14459,4.2,69.64,0,1
1-Feb-97,66.6971,4.1,69.84,0,1
1-Mar-97,68.41921,4,70.64,0,1
1-Apr-97,69.93108,4,71.26,0,1
1-May-97,71.30486,3.9,71.79,0,1
1-Jun-97,72.72767,3.9,72.31,0,1
1-Jul-97,74.17264,3.9,72.8,0,1
