date,data1,data2,data3,flag1,flag2
1990-02-01,4.23,59.98,27.33705,0,0
1990-03-01,4.17,62.29,27.15281,0,0
1990-04-01,4.13,65.09,26.92862,0,0
1990-05-01,4.18,66.82,26.73929,0,0
1990-06-01,4.15,68.06,26.56291,0,0
1990-07-01,3.47,68.3,26.41935,0,0
1990-08-01,2.9,68.61,26.39237,0,0
1990-09-01,1.99,68.13,26.45719,0,0
1990-10-01,1.4,67.59,26.43285,0,0
1990-11-01,0.92,66.88,26.20253,0,0
1990-12-01,0.5,66.38,25.88929,0,0
1991-01-01,0.23,65.53,25.63932,0,0
1991-02-01,0.58,64.6,25.53807,0,0
1991-03-01,1.17,64.47,25.53903,0,0
1991-04-01,1.61,65.09,25.61751,0,0
1991-05-01,1.89,66.03,25.75849,0,0
1991-06-01,1.94,66.68,25.90482,0,0
1991-07-01,2,66.93,26.04955,0,0
1991-08-01,1.81,67.04,26.22129,0,0
1991-09-01,1.81,66.99,26.40238,0,0
1991-10-01,1.76,66.48,26.56987,0,0
1991-11-01,1.71,66.13,26.74932,0,0
1991-12-01,1.76,65.7,27.02266,0,0
1992-01-01,1.99,65.61,27.42886,0,0
1992-02-01,1.98,65.54,27.91823,0,0
1992-03-01,1.94,66.18,28.49808,0,0
1992-04-01,1.95,66.87,29.12378,0,0
1992-05-01,1.76,67.57,29.7055,0,0
1992-06-01,1.73,67.9,30.17825,0,0
1992-07-01,1.88,67.98,30.49776,0,0
1992-08-01,1.69,67.75,30.70037,0,0
1992-09-01,1.89,67.44,30.93546,0,0
1992-10-01,2.33,67.74,31.22189,0,0
1992-11-01,2.22,67.57,31.47628,0,0
1992-12-01,2.8,67.47,31.6323,0,0
1993-01-01,3.12,67.49,31.7379,0,0
1993-02-01,3.34,67.76,31.8687,0,0
1993-03-01,3.44,68.19,32.03361,0,0
1993-04-01,3.46,67.94,32.24548,0,0
1993-05-01,3.42,68.14,32.53288,0,0
1993-06-01,3.67,68.13,32.86612,0,0
1993-07-01,4.05,68.18,33.19128,0,0
1993-08-01,3.53,68.59,33.56585,0,0
1993-09-01,3.05,69.21,34.03712,0,0
1993-10-01,2.33,69.47,34.57698,0,0
1993-11-01,2.73,69.65,35.10908,0,0
1993-12-01,2.91,69.52,35.56896,0,0
1994-01-01,2.82,69.82,36.00632,0,0
1994-02-01,3.04,69.58,36.56444,0,0
1994-03-01,3.24,69.84,37.36852,0,0
1994-04-01,3.81,70.33,38.27924,0,0
1994-05-01,4.15,71.51,39.02898,0,0
1994-06-01,4.14,71.97,39.58701,0,0
1994-07-01,4.22,72.12,40.14001,0,0
1994-08-01,4.18,71.93,40.84918,0,0
1994-09-01,4.02,71.93,41.78169,0,0
1994-10-01,3.79,72.01,42.91478,0,0
1994-11-01,3.73,71.99,44.06237,0,0
1994-12-01,3.39,71.73,45.00343,0,0
1995-01-01,2.78,71.72,45.77322,0,0
1995-02-01,2.54,71.2,46.67729,0,0
1995-03-01,2.4,71.44,47.90177,0,0
1995-04-01,2.12,71.28,49.23245,0,0
