date,data1,data2,data3,flag1,flag2
1990-02-01,73.82,3.2,27.33705,0,0
1990-03-01,74.6,3.3,27.15281,0,0
1990-04-01,75.07,3.3,26.92862,1,0
1990-05-01,75.02,3.4,26.73929,1,0
1990-06-01,74.59,3.5,26.56291,1,0
1990-07-01,74.05,3.5,26.41935,1,0
1990-08-01,73.75,3.7,26.39237,1,0
1990-09-01,73.48,3.8,26.45719,1,0
1990-10-01,72.91,4,26.43285,1,0
1990-11-01,72.37,4.2,26.20253,1,0
1990-12-01,71.86,4.4,25.88929,1,0
1991-01-01,71.94,4.6,25.63932,1,0
1991-02-01,71.13,4.7,25.53807,1,0
1991-03-01,70.61,4.8,25.53903,1,0
1991-04-01,69.91,4.9,25.61751,0,0
1991-05-01,70.01,5,25.75849,0,0
1991-06-01,70.28,5,25.90482,0,0
1991-07-01,70.66,5,26.04955,0,0
1991-08-01,70.83,5.1,26.22129,0,0
1991-09-01,70.82,5.1,26.40238,0,1
1991-10-01,70.71,5.2,26.56987,0,1
1991-11-01,70.53,5.3,26.74932,0,1
1991-12-01,70.45,5.5,27.02266,0,1
1992-01-01,70.4,5.7,27.42886,0,1
1992-02-01,70.34,5.8,27.91823,0,1
1992-03-01,70.19,5.9,28.49808,0,1
1992-04-01,69.69,6,29.12378,0,1
1992-05-01,69.73,6.2,29.7055,0,1
1992-06-01,69.49,6.3,30.17825,0,1
1992-07-01,69.27,6.4,30.49776,0,1
1992-08-01,68.96,6.4,30.70037,0,0
1992-09-01,68.81,6.4,30.93546,0,0
1992-10-01,68.83,6.4,31.22189,0,1
1992-11-01,68.75,6.5,31.47628,0,1
1992-12-01,68.58,6.5,31.6323,0,1
1993-01-01,68.45,6.4,31.7379,0,1
1993-02-01,68.29,6.4,31.8687,0,1
1993-03-01,68.07,6.4,32.03361,0,1
1993-04-01,67.99,6.3,32.24548,0,1
1993-05-01,67.76,6.3,32.53288,0,1
1993-06-01,67.47,6.4,32.86612,0,1
1993-07-01,66.93,6.4,33.19128,0,1
1993-08-01,66.95,6.3,33.56585,0,1
1993-09-01,66.83,6.3,34.03712,0,0
1993-10-01,66.77,6.3,34.57698,0,0
1993-11-01,66.72,6.3,35.10908,0,0
1993-12-01,66.63,6.2,35.56896,0,0
1994-01-01,66.63,6.2,36.00632,0,0
1994-02-01,66.65,6.2,36.56444,0,0
1994-03-01,67.32,6.1,37.36852,0,0
1994-04-01,67.42,5.9,38.27924,0,0
1994-05-01,67.54,5.8,39.02898,0,0
1994-06-01,67.61,5.8,39.58701,0,0
1994-07-01,67.64,5.8,40.14001,0,0
1994-08-01,67.68,5.8,40.84918,0,0
1994-09-01,67.54,5.7,41.78169,0,0
1994-10-01,67.79,5.6,42.91478,0,0
1994-11-01,68.05,5.5,44.06237,0,0
1994-12-01,68.31,5.4,45.00343,0,0
1995-01-01,68.42,5.3,45.77322,0,0
1995-02-01,68.32,5.3,46.67729,0,0
1995-03-01,67.73,5.4,47.90177,0,0
1995-04-01,67.41,5.5,49.23245,0,0
1995-05-01,67.11,5.6,50.33263,0,0
1995-06-01,66.92,5.6,51.0402,0,0
1995-07-01,66.96,5.5,51.6537,0,0
1995-08-01,67.02,5.5,52.65709,0,0
1995-09-01,67.11,5.4,53.92181,0,0
1995-10-01,66.97,5.3,54.98707,0,0
1995-11-01,66.91,5.2,55.65231,0,0
1995-12-01,66.85,5.1,56.09926,0,0
1996-01-01,66.88,5,56.57786,0,0
1996-02-01,66.9,4.9,57.25003,0,0
1996-03-01,66.81,4.9,57.91183,0,1
1996-04-01,66.69,4.8,58.42295,0,1
1996-05-01,66.78,4.7,58.88764,0,1
1996-06-01,67.02,4.6,59.42103,0,1
1996-07-01,67.22,4.5,60.09253,0,1
1996-08-01,67.54,4.4,60.91051,0,1
1996-09-01,67.8,4.3,61.82707,0,1
1996-10-01,68.26,4.3,62.72758,0,1
1996-11-01,68.94,4.3,63.46693,0,1
1996-12-01,69.21,4.3,64.14939,0,1
1997-01-01,69.64,4.2,65.14459,0,1
1997-02-01,69.84,4.1,66.6971,0,1
1997-03-01,70.64,4,68.41921,0,1
1997-04-01,71.26,4,69.93108,0,1
1997-05-01,71.79,3.9,71.30486,0,1
1997-06-01,72.31,3.9,72.72767,0,1
1997-07-01,72.8,3.9,74.17264,0,1
1997-08-01,73.57,3.9,75.37118,0,1
1997-09-01,74.12,3.8,75.96457,0,1
1997-10-01,75.04,3.8,76.03794,0,0
1997-11-01,75.68,3.7,76.10412,0,0
1997-12-01,76.5,3.7,76.50303,0,0
1998-01-01,77.2,3.6,77.12097,0,0
1998-02-01,77.68,3.6,77.64582,0,0
1998-03-01,78.31,3.6,77.86251,0,0
1998-04-01,79.13,3.5,77.88447,0,0
1998-05-01,80.22,3.5,77.88579,0,0
1998-06-01,81.39,3.5,78.11974,0,0
1998-07-01,82.38,3.5,78.63513,0,1
1998-08-01,83.52,3.5,79.48917,0,1
1998-09-01,84.44,3.5,80.64658,0,1
1998-10-01,84.97,3.5,81.87037,0,1
1998-11-01,85.16,3.4,83.07798,0,1
1998-12-01,85.4,3.3,84.37936,0,1
1999-01-01,86.23,3.3,85.87001,0,1
1999-02-01,87.22,3.2,87.50119,0,1
1999-03-01,88.29,3.1,89.18933,0,1
1999-04-01,89.09,3,91.01304,0,1
1999-05-01,89.97,2.9,92.89939,0,1
1999-06-01,91.28,2.9,94.64287,0,1
1999-07-01,92.89,2.8,95.73138,0,1
1999-08-01,94.28,2.8,95.7858,0,1
1999-09-01,95.6,2.8,95.37477,0,1
1999-10-01,96.76,2.8,95.30795,0,1
1999-11-01,98.51,2.8,96.01999,0,1
1999-12-01,100.03,2.8,97.60402,0,1
2000-01-01,101.45,3.4,100,0,1
2000-02-01,104.17,3.4,102.85784,0,1
2000-03-01,107.34,3.4,105.90806,0,1
2000-04-01,110.63,3.4,108.85015,0,1
2000-05-01,113.8,3.5,111.34049,0,1
2000-06-01,116.82,3.5,113.20322,0,1
2000-07-01,117.87,3.4,114.59493,0,1
2000-08-01,119.05,3.4,115.633,0,1
2000-09-01,120.41,3.4,116.57631,0,1
