date,data1,data2,data3,flag1,flag2
1990-02-01,59.98,4.23,73.82,0,0
1990-03-01,62.29,4.17,74.6,0,0
1990-04-01,65.09,4.13,75.07,0,0
1990-05-01,66.82,4.18,75.02,0,0
1990-06-01,68.06,4.15,74.59,0,0
1990-07-01,68.3,3.47,74.05,0,0
1990-08-01,68.61,2.9,73.75,0,0
1990-09-01,68.13,1.99,73.48,0,0
1990-10-01,67.59,1.4,72.91,0,0
1990-11-01,66.88,0.92,72.37,0,0
1990-12-01,66.38,0.5,71.86,0,0
1991-01-01,65.53,0.23,71.94,0,0
1991-02-01,64.6,0.58,71.13,0,0
1991-03-01,64.47,1.17,70.61,0,0
1991-04-01,65.09,1.61,69.91,0,0
1991-05-01,66.03,1.89,70.01,0,0
1991-06-01,66.68,1.94,70.28,0,0
1991-07-01,66.93,2,70.66,0,0
1991-08-01,67.04,1.81,70.83,0,0
1991-09-01,66.99,1.81,70.82,0,0
1991-10-01,66.48,1.76,70.71,0,0
1991-11-01,66.13,1.71,70.53,0,0
1991-12-01,65.7,1.76,70.45,0,0
1992-01-01,65.61,1.99,70.4,0,0
1992-02-01,65.54,1.98,70.34,0,0
1992-03-01,66.18,1.94,70.19,0,0
1992-04-01,66.87,1.95,69.69,0,0
1992-05-01,67.57,1.76,69.73,0,0
1992-06-01,67.9,1.73,69.49,0,0
1992-07-01,67.98,1.88,69.27,0,0
1992-08-01,67.75,1.69,68.96,0,0
1992-09-01,67.44,1.89,68.81,0,0
1992-10-01,67.74,2.33,68.83,0,0
1992-11-01,67.57,2.22,68.75,0,0
1992-12-01,67.47,2.8,68.58,0,0
1993-01-01,67.49,3.12,68.45,0,0
1993-02-01,67.76,3.34,68.29,0,0
1993-03-01,68.19,3.44,68.07,0,0
1993-04-01,67.94,3.46,67.99,0,0
1993-05-01,68.14,3.42,67.76,0,0
1993-06-01,68.13,3.67,67.47,0,0
1993-07-01,68.18,4.05,66.93,0,0
1993-08-01,68.59,3.53,66.95,0,0
1993-09-01,69.21,3.05,66.83,0,0
1993-10-01,69.47,2.33,66.77,0,0
1993-11-01,69.65,2.73,66.72,0,0
1993-12-01,69.52,2.91,66.63,0,0
1994-01-01,69.82,2.82,66.63,0,0
1994-02-01,69.58,3.04,66.65,0,0
1994-03-01,69.84,3.24,67.32,0,0
1994-04-01,70.33,3.81,67.42,0,0
1994-05-01,71.51,4.15,67.54,0,0
1994-06-01,71.97,4.14,67.61,0,0
1994-07-01,72.12,4.22,67.64,0,0
1994-08-01,71.93,4.18,67.68,0,0
1994-09-01,71.93,4.02,67.54,0,0
1994-10-01,72.01,3.79,67.79,0,0
1994-11-01,71.99,3.73,68.05,0,0
1994-12-01,71.73,3.39,68.31,0,0
1995-01-01,71.72,2.78,68.42,0,0
1995-02-01,71.2,2.54,68.32,0,0
1995-03-01,71.44,2.4,67.73,0,0
1995-04-01,71.28,2.12,67.41,0,0
1995-05-01,71.88,2.55,67.11,0,0
1995-06-01,72.01,2.65,66.92,0,0
1995-07-01,72.62,2.55,66.96,0,0
1995-08-01,72.88,2.99,67.02,0,0
1995-09-01,73.02,2.78,67.11,0,0
1995-10-01,73.1,2.39,66.97,0,0
1995-11-01,72.92,3.32,66.91,0,0
1995-12-01,72.83,4.44,66.85,0,0
1996-01-01,72.35,4.67,66.88,0,0
1996-02-01,72.45,4.67,66.9,0,0
1996-03-01,73.21,4.53,66.81,0,0
1996-04-01,73.71,4.33,66.69,0,0
1996-05-01,74.25,4.61,66.78,0,0
1996-06-01,74.63,5.17,67.02,0,0
1996-07-01,74.68,5.29,67.22,0,0
1996-08-01,75.01,5.4,67.54,0,0
1996-09-01,74.68,5.4,67.8,0,0
1996-10-01,74.95,5.5,68.26,0,0
1996-11-01,74.67,5.34,68.94,0,1
1996-12-01,74.7,5.27,69.21,0,1
1997-01-01,74.84,5.2,69.64,0,1
1997-02-01,75.43,5.33,69.84,0,1
1997-03-01,76.33,5.33,70.64,0,1
1997-04-01,77.71,5.62,71.26,0,1
1997-05-01,79.18,5.49,71.79,0,1
1997-06-01,80.35,5.35,72.31,0,1
1997-07-01,81.44,5.13,72.8,0,1
1997-08-01,81.72,5,73.57,0,1
1997-09-01,82.1,4.93,74.12,0,1
1997-10-01,82.32,5.06,75.04,0,1
1997-11-01,82.68,4.87,75.68,0,1
1997-12-01,83.15,4.48,76.5,0,1
1998-01-01,83.49,4.15,77.2,0,1
1998-02-01,84.61,4.1,77.68,0,1
1998-03-01,85.7,3.74,78.31,0,1
1998-04-01,86.92,3.98,79.13,0,1
1998-05-01,88.06,3.82,80.22,0,1
1998-06-01,89.16,3.6,81.39,0,1
1998-07-01,90.01,3.5,82.38,0,1
1998-08-01,90.41,3.37,83.52,0,1
1998-09-01,90.92,3.43,84.44,0,1
1998-10-01,91.38,3.59,84.97,0,1
1998-11-01,91.72,3.5,85.16,0,1
1998-12-01,91.55,3.35,85.4,0,1
1999-01-01,91.66,3.21,86.23,0,1
1999-02-01,91.98,2.99,87.22,0,0
1999-03-01,93.23,2.96,88.29,0,0
1999-04-01,94.66,2.69,89.09,0,0
1999-05-01,95.97,2.57,89.97,0,0
1999-06-01,97.16,2.72,91.28,0,1
1999-07-01,97.64,2.94,92.89,0,1
1999-08-01,98.11,2.81,94.28,0,1
1999-09-01,98.66,2.81,95.6,0,1
1999-10-01,99.45,2.87,96.76,0,1
1999-11-01,99.96,2.95,98.51,0,1
1999-12-01,99.94,2.93,100.03,0,1
2000-01-01,100,2.69,101.45,0,1
2000-02-01,100.48,2.72,104.17,0,1
2000-03-01,102.24,3.16,107.34,0,1
2000-04-01,103.46,2.73,110.63,0,1
2000-05-01,104.78,2.67,113.8,0,1
2000-06-01,105.28,2.59,116.82,0,1
2000-07-01,105.82,2.29,117.87,0,1
2000-08-01,105.88,2.51,119.05,0,1
2000-09-01,106.1,2.55,120.41,0,1
2000-10-01,106.08,2.12,123.25,0,1
2000-11-01,106.33,1.72,126.44,0,0
2000-12-01,106.73,1.23,130.06,0,0
2001-01-01,106.7,0.49,133.04,0,0
2001-02-01,106.72,0.17,135.08,0,0
2001-03-01,107.41,-0.1,134.94,0,0
2001-04-01,108.97,-0.42,133.86,0,0
2001-05-01,109.76,-0.52,132.66,0,0
2001-06-01,110.56,-0.72,130.83,0,0
2001-07-01,110.84,-0.89,129.28,0,0
2001-08-01,111.23,-1.22,128.33,0,0
2001-09-01,111.72,-1.53,128.18,0,1
2001-10-01,111.94,-2.06,128.21,0,1
2001-11-01,111.97,-2.01,127.67,0,1
2001-12-01,111.58,-1.48,126.84,0,1
2002-01-01,111.79,-0.81,126.84,0,1
2002-02-01,112.07,-0.16,127.61,0,1
