date,data1,data2,data3,flag1,flag2
1990-02-01,27.33705,73.82,59.98,0,0
1990-03-01,27.15281,74.6,62.29,0,0
1990-04-01,26.92862,75.07,65.09,0,0
1990-05-01,26.73929,75.02,66.82,0,0
1990-06-01,26.56291,74.59,68.06,0,0
1990-07-01,26.41935,74.05,68.3,0,0
1990-08-01,26.39237,73.75,68.61,0,0
1990-09-01,26.45719,73.48,68.13,0,0
1990-10-01,26.43285,72.91,67.59,0,0
1990-11-01,26.20253,72.37,66.88,0,0
1990-12-01,25.88929,71.86,66.38,0,0
1991-01-01,25.63932,71.94,65.53,0,0
1991-02-01,25.53807,71.13,64.6,0,0
1991-03-01,25.53903,70.61,64.47,0,0
1991-04-01,25.61751,69.91,65.09,0,0
1991-05-01,25.75849,70.01,66.03,0,0
1991-06-01,25.90482,70.28,66.68,0,0
1991-07-01,26.04955,70.66,66.93,0,0
1991-08-01,26.22129,70.83,67.04,0,0
1991-09-01,26.40238,70.82,66.99,1,0
1991-10-01,26.56987,70.71,66.48,1,0
1991-11-01,26.74932,70.53,66.13,1,0
1991-12-01,27.02266,70.45,65.7,1,0
1992-01-01,27.42886,70.4,65.61,1,0
1992-02-01,27.91823,70.34,65.54,1,0
1992-03-01,28.49808,70.19,66.18,1,0
1992-04-01,29.12378,69.69,66.87,1,0
1992-05-01,29.7055,69.73,67.57,1,0
1992-06-01,30.17825,69.49,67.9,1,0
1992-07-01,30.49776,69.27,67.98,1,0
1992-08-01,30.70037,68.96,67.75,0,0
1992-09-01,30.93546,68.81,67.44,0,0
1992-10-01,31.22189,68.83,67.74,1,0
1992-11-01,31.47628,68.75,67.57,1,0
1992-12-01,31.6323,68.58,67.47,1,0
1993-01-01,31.7379,68.45,67.49,1,0
1993-02-01,31.8687,68.29,67.76,1,0
1993-03-01,32.03361,68.07,68.19,1,0
1993-04-01,32.24548,67.99,67.94,1,0
1993-05-01,32.53288,67.76,68.14,1,0
1993-06-01,32.86612,67.47,68.13,1,0
1993-07-01,33.19128,66.93,68.18,1,0
1993-08-01,33.56585,66.95,68.59,1,0
1993-09-01,34.03712,66.83,69.21,0,0
1993-10-01,34.57698,66.77,69.47,0,0
1993-11-01,35.10908,66.72,69.65,0,0
1993-12-01,35.56896,66.63,69.52,0,0
1994-01-01,36.00632,66.63,69.82,0,0
1994-02-01,36.56444,66.65,69.58,0,0
1994-03-01,37.36852,67.32,69.84,0,0
1994-04-01,38.27924,67.42,70.33,0,0
1994-05-01,39.02898,67.54,71.51,0,0
1994-06-01,39.58701,67.61,71.97,0,0
1994-07-01,40.14001,67.64,72.12,0,0
1994-08-01,40.84918,67.68,71.93,0,0
1994-09-01,41.78169,67.54,71.93,0,0
1994-10-01,42.91478,67.79,72.01,0,0
1994-11-01,44.06237,68.05,71.99,0,0
1994-12-01,45.00343,68.31,71.73,0,0
1995-01-01,45.77322,68.42,71.72,0,0
1995-02-01,46.67729,68.32,71.2,0,0
1995-03-01,47.90177,67.73,71.44,0,0
1995-04-01,49.23245,67.41,71.28,0,0
1995-05-01,50.33263,67.11,71.88,0,0
1995-06-01,51.0402,66.92,72.01,0,0
1995-07-01,51.6537,66.96,72.62,0,0
1995-08-01,52.65709,67.02,72.88,0,0
1995-09-01,53.92181,67.11,73.02,0,0
1995-10-01,54.98707,66.97,73.1,0,0
1995-11-01,55.65231,66.91,72.92,0,0
1995-12-01,56.09926,66.85,72.83,0,0
1996-01-01,56.57786,66.88,72.35,0,0
1996-02-01,57.25003,66.9,72.45,0,0
1996-03-01,57.91183,66.81,73.21,1,0
1996-04-01,58.42295,66.69,73.71,1,0
1996-05-01,58.88764,66.78,74.25,1,0
1996-06-01,59.42103,67.02,74.63,1,0
