date,data1,data2,data3,flag1,flag2
1-Dec-92,6.5,31.6323,68.58,0,0
1-Jan-93,6.4,31.7379,68.45,0,0
1-Feb-93,6.4,31.8687,68.29,0,0
1-Mar-93,6.4,32.03361,68.07,0,0
1-Apr-93,6.3,32.24548,67.99,0,0
1-May-93,6.3,32.53288,67.76,0,0
1-Jun-93,6.4,32.86612,67.47,0,0
1-Jul-93,6.4,33.19128,66.93,0,0
1-Aug-93,6.3,33.56585,66.95,0,0
1-Sep-93,6.3,34.03712,66.83,0,0
1-Oct-93,6.3,34.57698,66.77,0,0
1-Nov-93,6.3,35.10908,66.72,0,0
1-Dec-93,6.2,35.56896,66.63,0,0
1-Jan-94,6.2,36.00632,66.63,0,0
1-Feb-94,6.2,36.56444,66.65,0,0
1-Mar-94,6.1,37.36852,67.32,0,0
1-Apr-94,5.9,38.27924,67.42,1,0
1-May-94,5.8,39.02898,67.54,1,0
1-Jun-94,5.8,39.58701,67.61,1,0
1-Jul-94,5.8,40.14001,67.64,1,0
1-Aug-94,5.8,40.84918,67.68,1,0
1-Sep-94,5.7,41.78169,67.54,1,0
1-Oct-94,5.6,42.91478,67.79,1,0
1-Nov-94,5.5,44.06237,68.05,1,0
1-Dec-94,5.4,45.00343,68.31,1,0
1-Jan-95,5.3,45.77322,68.42,1,0
1-Feb-95,5.3,46.67729,68.32,1,0
1-Mar-95,5.4,47.90177,67.73,0,0
1-Apr-95,5.5,49.23245,67.41,0,0
1-May-95,5.6,50.33263,67.11,0,0
1-Jun-95,5.6,51.0402,66.92,0,0
1-Jul-95,5.5,51.6537,66.96,0,0
1-Aug-95,5.5,52.65709,67.02,1,0
1-Sep-95,5.4,53.92181,67.11,1,0
1-Oct-95,5.3,54.98707,66.97,1,0
1-Nov-95,5.2,55.65231,66.91,1,0
1-Dec-95,5.1,56.09926,66.85,1,0
1-Jan-96,5,56.57786,66.88,1,0
1-Feb-96,4.9,57.25003,66.9,1,0
1-Mar-96,4.9,57.91183,66.81,1,0
1-Apr-96,4.8,58.42295,66.69,1,0
1-May-96,4.7,58.88764,66.78,1,0
1-Jun-96,4.6,59.42103,67.02,1,0
1-Jul-96,4.5,60.09253,67.22,1,0
1-Aug-96,4.4,60.91051,67.54,1,0
1-Sep-96,4.3,61.82707,67.8,1,0
1-Oct-96,4.3,62.72758,68.26,1,0
1-Nov-96,4.3,63.46693,68.94,0,0
1-Dec-96,4.3,64.14939,69.21,0,0
1-Jan-97,4.2,65.14459,69.64,0,0
1-Feb-97,4.1,66.6971,69.84,0,0
1-Mar-97,4,68.41921,70.64,0,0
1-Apr-97,4,69.93108,71.26,0,0
1-May-97,3.9,71.30486,71.79,0,0
1-Jun-97,3.9,72.72767,72.31,0,0
1-Jul-97,3.9,74.17264,72.8,0,0
1-Aug-97,3.9,75.37118,73.57,0,0
1-Sep-97,3.8,75.96457,74.12,0,0
1-Oct-97,3.8,76.03794,75.04,0,0
1-Nov-97,3.7,76.10412,75.68,0,0
1-Dec-97,3.7,76.50303,76.5,0,0
1-Jan-98,3.6,77.12097,77.2,0,0
1-Feb-98,3.6,77.64582,77.68,0,0
1-Mar-98,3.6,77.86251,78.31,0,0
1-Apr-98,3.5,77.88447,79.13,0,0
1-May-98,3.5,77.88579,80.22,0,0
1-Jun-98,3.5,78.11974,81.39,0,0
1-Jul-98,3.5,78.63513,82.38,0,0
1-Aug-98,3.5,79.48917,83.52,1,0
1-Sep-98,3.5,80.64658,84.44,1,0
1-Oct-98,3.5,81.87037,84.97,1,0
1-Nov-98,3.4,83.07798,85.16,1,0
1-Dec-98,3.3,84.37936,85.4,1,0
1-Jan-99,3.3,85.87001,86.23,1,0
1-Feb-99,3.2,87.50119,87.22,1,0
1-Mar-99,3.1,89.18933,88.29,1,0
1-Apr-99,3,91.01304,89.09,1,0
1-May-99,2.9,92.89939,89.97,1,0
1-Jun-99,2.9,94.64287,91.28,1,0
1-Jul-99,2.8,95.73138,92.89,1,0
1-Aug-99,2.8,95.7858,94.28,1,0
1-Sep-99,2.8,95.37477,95.6,1,0
1-Oct-99,2.8,95.30795,96.76,1,0
1-Nov-99,2.8,96.01999,98.51,1,0
1-Dec-99,2.8,97.60402,100.03,0,0
1-Jan-00,3.4,100,101.45,0,0
1-Feb-00,3.4,102.85784,104.17,0,0
1-Mar-00,3.4,105.90806,107.34,0,0
1-Apr-00,3.4,108.85015,110.63,0,0
1-May-00,3.5,111.34049,113.8,0,0
1-Jun-00,3.5,113.20322,116.82,0,0
1-Jul-00,3.4,114.59493,117.87,0,0
1-Aug-00,3.4,115.633,119.05,0,0
1-Sep-00,3.4,116.57631,120.41,0,0
1-Oct-00,3.3,117.11273,123.25,0,0
1-Nov-00,3.2,117.071,126.44,0,0
1-Dec-00,3.3,116.03524,130.06,0,0
1-Jan-01,3.3,113.40478,133.04,0,0
1-Feb-01,3.4,109.30224,135.08,0,0
1-Mar-01,3.6,104.25722,134.94,0,0
1-Apr-01,3.8,98.92151,133.86,0,0
1-May-01,4,94.05992,132.66,1,0
1-Jun-01,4.2,89.7882,130.83,1,0
1-Jul-01,4.5,86.02985,129.28,1,0
1-Aug-01,4.8,83.11012,128.33,1,0
1-Sep-01,5.1,81.12004,128.18,1,0
1-Oct-01,5.4,79.71198,128.21,1,0
1-Nov-01,5.6,78.47786,127.67,1,0
1-Dec-01,5.8,77.26226,126.84,1,0
1-Jan-02,5.9,75.95353,126.84,1,0
1-Feb-02,6,74.79732,127.61,1,0
1-Mar-02,6.1,73.71649,129.56,1,0
1-Apr-02,6.1,72.57329,132.11,1,0
1-May-02,6.1,71.38732,134.75,0,0
1-Jun-02,6.1,70.27894,137.57,0,0
1-Jul-02,6.2,69.29151,139.37,0,0
1-Aug-02,6.2,68.34994,141.11,0,0
1-Sep-02,6.3,67.33774,141.85,0,0
1-Oct-02,6.3,66.2796,142.82,0,0
1-Nov-02,6.4,65.32063,143.63,0,0
1-Dec-02,6.5,64.61814,143.82,0,0
1-Jan-03,6.4,64.44504,143.73,0,0
1-Feb-03,6.4,64.71759,143.85,0,0
1-Mar-03,6.4,65.1253,143.96,0,0
1-Apr-03,6.4,65.65696,144.3,0,1
1-May-03,6.5,66.41019,144.37,0,1
1-Jun-03,6.5,67.37035,144.84,0,1
1-Jul-03,6.4,68.41706,146.17,0,1
1-Aug-03,6.3,69.56616,147.8,0,1
1-Sep-03,6.2,70.88137,149.64,0,1
1-Oct-03,6.2,72.02432,151.55,0,1
1-Nov-03,6.1,72.60655,153.73,0,1
1-Dec-03,6,72.65965,155.99,0,1
1-Jan-04,5.9,72.51379,157.84,1,1
1-Feb-04,5.9,72.43728,159.95,1,1
1-Mar-04,5.9,72.51598,162.21,1,1
1-Apr-04,5.7,72.6986,164.53,1,1
1-May-04,5.6,72.92227,166.8,1,1
1-Jun-04,5.4,73.10142,169.84,1,1
1-Jul-04,5.3,73.24709,172.09,1,1
1-Aug-04,5.2,73.40535,174.54,1,1
1-Sep-04,5.1,73.53661,177.02,1,1
1-Oct-04,5.2,73.58413,180.05,1,0
1-Nov-04,5.2,73.56915,183.28,1,0
1-Dec-04,5.1,73.66515,187.12,1,0
1-Jan-05,5.1,73.92436,191.62,0,0
1-Feb-05,5,74.14881,196.02,0,0
1-Mar-05,5,74.17466,200.47,0,0
1-Apr-05,4.9,74.05908,202.3,0,0
1-May-05,4.8,73.95955,204.82,0,0
1-Jun-05,4.7,74.06043,207.2,0,0
1-Jul-05,4.7,74.53413,209.3,0,0
1-Aug-05,4.7,75.3789,210.72,0,0
1-Sep-05,4.7,76.40309,212.7,0,0
1-Oct-05,4.8,77.41704,214.13,1,0
1-Nov-05,4.7,78.45951,215.52,1,0
1-Dec-05,4.5,79.80196,216.42,1,0
1-Jan-06,4.4,81.39966,217.4,1,0
1-Feb-06,4.3,82.82802,218.83,1,0
1-Mar-06,4.3,83.61806,219.31,1,0
1-Apr-06,4.2,83.92692,218.79,1,0
1-May-06,4.2,84.168,218.03,1,0
1-Jun-06,4.1,84.45839,216.55,1,0
1-Jul-06,4.1,84.82572,214.97,1,0
1-Aug-06,4.1,85.34685,214.32,1,0
1-Sep-06,4.1,85.71037,213.56,0,0
1-Oct-06,4.1,85.72599,213.36,0,0
1-Nov-06,4.1,85.72001,213.27,0,0
1-Dec-06,4.2,86.08032,213.16,0,0
1-Jan-07,4.2,87.06592,214.63,0,0
1-Feb-07,4.2,88.62393,214.9,0,0
1-Mar-07,4.2,90.25775,215.35,0,0
1-Apr-07,4.2,91.12738,213.49,0,0
1-May-07,4.2,90.67212,210.78,0,0
1-Jun-07,4.3,89.5314,207.96,0,0
1-Jul-07,4.4,88.81565,205.55,0,0
1-Aug-07,4.4,88.92138,204.52,0,0
1-Sep-07,4.5,89.63767,203.13,0,0
1-Oct-07,4.6,90.7233,199.64,0,0
1-Nov-07,4.7,91.81738,194.69,0,0
1-Dec-07,4.7,92.23581,189.99,0,0
1-Jan-08,4.7,91.85019,186.63,0,0
1-Feb-08,4.7,91.11945,178.87,1,1
1-Mar-08,4.8,90.51383,172.64,1,1
1-Apr-08,5,89.9945,166.69,1,1
1-May-08,5.3,89.1646,162.56,1,1
1-Jun-08,5.5,87.65391,158.49,1,1
1-Jul-08,5.8,85.63516,154.08,1,1
1-Aug-08,6,83.32983,148.15,1,1
1-Sep-08,6.2,80.50829,142.85,1,1
1-Oct-08,6.5,76.84796,137.58,1,1
1-Nov-08,6.9,72.75692,134.67,1,1
1-Dec-08,7.4,69.09134,130.63,1,1
1-Jan-09,7.9,66.58408,126.64,1,0
1-Feb-09,8.4,65.38157,123.99,1,0
1-Mar-09,8.7,64.92065,121.19,0,0
1-Apr-09,9,64.68954,120.13,0,0
1-May-09,9.2,64.70486,119.86,0,0
1-Jun-09,9.5,65.23706,123.33,0,0
1-Jul-09,9.7,66.27533,126.13,0,0
1-Aug-09,9.8,67.42221,129.22,0,0
1-Sep-09,10,68.47264,131.58,0,0
1-Oct-09,10,69.31183,134.01,0,0
1-Nov-09,10,69.91661,136.1,0,0
1-Dec-09,10.1,70.42793,137.01,0,0
1-Jan-10,9.9,71.07772,138.45,0,0
1-Feb-10,10,71.66047,139.35,0,0
1-Mar-10,10.1,72.00031,141.12,0,0
1-Apr-10,10.1,72.09961,141.68,0,0
1-May-10,10,72.08717,141.38,0,0
1-Jun-10,9.8,72.37122,140.51,0,0
1-Jul-10,9.8,73.22744,139.8,0,0
1-Aug-10,9.8,74.1731,139.15,0,0
1-Sep-10,9.8,74.73484,138.9,0,0
1-Oct-10,9.8,74.94587,137.22,0,0
1-Nov-10,9.8,75.0944,136.96,0,0
1-Dec-10,9.7,75.15395,136.89,0,0
1-Jan-11,9.6,74.93007,136.48,0,0
1-Feb-11,9.4,74.50768,134.85,0,0
1-Mar-11,9.4,74.2112,133.93,0,0
1-Apr-11,9.3,74.21047,133.5,0,0
1-May-11,9.3,74.31974,133.19,1,0
1-Jun-11,9.2,74.26799,132.5,1,0
1-Jul-11,9.2,74.12917,131.83,1,0
1-Aug-11,9.1,74.12342,131.82,1,0
1-Sep-11,9,74.08565,130.99,1,0
1-Oct-11,8.8,73.79674,131.12,1,0
1-Nov-11,8.6,73.38019,129.76,1,0
1-Dec-11,8.5,73.06461,129.85,1,0
1-Jan-12,8.4,72.93158,128.61,1,0
1-Feb-12,8.3,72.90454,129.41,1,0
1-Mar-12,8.2,72.90197,129.58,1,0
1-Apr-12,8.2,72.95536,131.17,0,0
1-May-12,8.1,72.83568,133.55,0,0
1-Jun-12,8,72.24169,136.17,0,0
1-Jul-12,7.9,71.3079,138.09,0,0
1-Aug-12,7.7,70.68753,139.15,0,0
1-Sep-12,7.5,71.01003,141.13,0,0
1-Oct-12,7.3,71.87316,143.19,0,1
1-Nov-12,7.2,72.53775,146.55,0,1
1-Dec-12,7.2,72.90897,148.87,0,1
1-Jan-13,7.1,73.1683,151.3,0,1
1-Feb-13,6.9,73.40131,153.67,0,1
1-Mar-13,6.7,73.62171,157.84,0,1
1-Apr-13,6.6,73.80042,161.91,0,1
1-May-13,6.6,73.87736,165.87,0,1
1-Jun-13,6.5,73.83341,169.21,0,1
1-Jul-13,6.4,73.76704,172.5,0,1
1-Aug-13,6.3,73.74239,175,0,1
1-Sep-13,6.2,73.74778,177.85,0,1
1-Oct-13,6.2,73.75276,178.78,0,1
1-Nov-13,6,73.73994,180.88,0,1
1-Dec-13,5.8,73.69072,182.82,0,1
1-Jan-14,5.7,73.73997,186.36,0,1
1-Feb-14,5.7,73.99318,188.15,0,1
1-Mar-14,5.6,74.3376,190.76,0,1
1-Apr-14,5.4,74.66481,190.98,0,0
1-May-14,5.3,74.89862,191.56,0,0
1-Jun-14,5.2,74.8676,191.54,0,0
1-Jul-14,5.2,74.55367,190.93,0,1
1-Aug-14,5.1,74.15987,191.17,0,1
1-Sep-14,5,73.85255,192.8,0,1
1-Oct-14,4.9,73.73584,195.79,0,1
1-Nov-14,4.8,73.80883,197.57,0,1
1-Dec-14,4.7,74.06902,200.18,0,1
1-Jan-15,4.6,74.54252,200.96,0,1
1-Feb-15,4.5,75.17313,206.62,0,1
1-Mar-15,4.4,75.81469,210.22,0,1
1-Apr-15,4.4,76.41001,210.06,0,1
1-May-15,4.4,76.97225,210.14,0,1
1-Jun-15,4.3,77.58881,209.89,0,1
1-Jul-15,4.1,78.30696,210.74,0,0
1-Aug-15,4.1,79.03875,211.61,0,0
1-Sep-15,4,79.63128,214.36,0,0
1-Oct-15,4.1,79.84851,217.29,0,0
1-Nov-15,4.1,79.69197,219.42,0,0
1-Dec-15,4.1,79.60528,221.01,0,0
1-Jan-16,3.8,79.52625,222.27,0,0
1-Feb-16,3.7,79.14673,225.63,0,0
1-Mar-16,3.7,78.65495,227.87,0,0
1-Apr-16,3.8,78.38261,226.23,0,0
1-May-16,3.7,78.65862,223.75,0,0
1-Jun-16,3.9,79.50192,223.55,0,0
1-Jul-16,4,80.47166,223.68,0,0
1-Aug-16,3.9,81.15813,225.83,0,0
