date,data1,data2,data3,flag1,flag2
1990-02-01,3.2,27.33705,73.82,0,0
1990-03-01,3.3,27.15281,74.6,0,0
1990-04-01,3.3,26.92862,75.07,0,1
1990-05-01,3.4,26.73929,75.02,0,1
1990-06-01,3.5,26.56291,74.59,0,1
1990-07-01,3.5,26.41935,74.05,0,1
1990-08-01,3.7,26.39237,73.75,0,1
1990-09-01,3.8,26.45719,73.48,0,1
1990-10-01,4,26.43285,72.91,0,1
1990-11-01,4.2,26.20253,72.37,0,1
1990-12-01,4.4,25.88929,71.86,0,1
1991-01-01,4.6,25.63932,71.94,0,1
1991-02-01,4.7,25.53807,71.13,0,1
1991-03-01,4.8,25.53903,70.61,0,1
1991-04-01,4.9,25.61751,69.91,1,0
1991-05-01,5,25.75849,70.01,1,0
1991-06-01,5,25.90482,70.28,1,0
1991-07-01,5,26.04955,70.66,1,0
1991-08-01,5.1,26.22129,70.83,1,0
1991-09-01,5.1,26.40238,70.82,1,0
1991-10-01,5.2,26.56987,70.71,1,0
1991-11-01,5.3,26.74932,70.53,1,0
1991-12-01,5.5,27.02266,70.45,1,0
1992-01-01,5.7,27.42886,70.4,1,0
1992-02-01,5.8,27.91823,70.34,1,0
1992-03-01,5.9,28.49808,70.19,1,0
1992-04-01,6,29.12378,69.69,1,0
1992-05-01,6.2,29.7055,69.73,1,0
1992-06-01,6.3,30.17825,69.49,1,0
1992-07-01,6.4,30.49776,69.27,1,0
1992-08-01,6.4,30.70037,68.96,1,0
1992-09-01,6.4,30.93546,68.81,1,0
1992-10-01,6.4,31.22189,68.83,1,0
1992-11-01,6.5,31.47628,68.75,1,0
1992-12-01,6.5,31.6323,68.58,1,0
1993-01-01,6.4,31.7379,68.45,0,0
1993-02-01,6.4,31.8687,68.29,0,0
1993-03-01,6.4,32.03361,68.07,0,0
1993-04-01,6.3,32.24548,67.99,0,0
1993-05-01,6.3,32.53288,67.76,0,0
1993-06-01,6.4,32.86612,67.47,0,0
1993-07-01,6.4,33.19128,66.93,0,0
1993-08-01,6.3,33.56585,66.95,0,0
1993-09-01,6.3,34.03712,66.83,0,0
1993-10-01,6.3,34.57698,66.77,0,0
1993-11-01,6.3,35.10908,66.72,0,0
1993-12-01,6.2,35.56896,66.63,0,0
1994-01-01,6.2,36.00632,66.63,0,0
1994-02-01,6.2,36.56444,66.65,0,0
1994-03-01,6.1,37.36852,67.32,0,0
1994-04-01,5.9,38.27924,67.42,1,0
1994-05-01,5.8,39.02898,67.54,1,0
1994-06-01,5.8,39.58701,67.61,1,0
1994-07-01,5.8,40.14001,67.64,1,0
1994-08-01,5.8,40.84918,67.68,1,0
1994-09-01,5.7,41.78169,67.54,1,0
1994-10-01,5.6,42.91478,67.79,1,0
1994-11-01,5.5,44.06237,68.05,1,0
1994-12-01,5.4,45.00343,68.31,1,0
1995-01-01,5.3,45.77322,68.42,1,0
1995-02-01,5.3,46.67729,68.32,1,0
1995-03-01,5.4,47.90177,67.73,0,0
1995-04-01,5.5,49.23245,67.41,0,0
1995-05-01,5.6,50.33263,67.11,0,0
1995-06-01,5.6,51.0402,66.92,0,0
1995-07-01,5.5,51.6537,66.96,0,0
1995-08-01,5.5,52.65709,67.02,1,0
1995-09-01,5.4,53.92181,67.11,1,0
1995-10-01,5.3,54.98707,66.97,1,0
1995-11-01,5.2,55.65231,66.91,1,0
1995-12-01,5.1,56.09926,66.85,1,0
1996-01-01,5,56.57786,66.88,1,0
1996-02-01,4.9,57.25003,66.9,1,0
1996-03-01,4.9,57.91183,66.81,1,0
1996-04-01,4.8,58.42295,66.69,1,0
1996-05-01,4.7,58.88764,66.78,1,0
1996-06-01,4.6,59.42103,67.02,1,0
1996-07-01,4.5,60.09253,67.22,1,0
1996-08-01,4.4,60.91051,67.54,1,0
1996-09-01,4.3,61.82707,67.8,1,0
1996-10-01,4.3,62.72758,68.26,1,0
1996-11-01,4.3,63.46693,68.94,0,0
1996-12-01,4.3,64.14939,69.21,0,0
1997-01-01,4.2,65.14459,69.64,0,0
1997-02-01,4.1,66.6971,69.84,0,0
1997-03-01,4,68.41921,70.64,0,0
1997-04-01,4,69.93108,71.26,0,0
1997-05-01,3.9,71.30486,71.79,0,0
1997-06-01,3.9,72.72767,72.31,0,0
1997-07-01,3.9,74.17264,72.8,0,0
1997-08-01,3.9,75.37118,73.57,0,0
1997-09-01,3.8,75.96457,74.12,0,0
1997-10-01,3.8,76.03794,75.04,0,0
1997-11-01,3.7,76.10412,75.68,0,0
1997-12-01,3.7,76.50303,76.5,0,0
1998-01-01,3.6,77.12097,77.2,0,0
1998-02-01,3.6,77.64582,77.68,0,0
1998-03-01,3.6,77.86251,78.31,0,0
1998-04-01,3.5,77.88447,79.13,0,0
1998-05-01,3.5,77.88579,80.22,0,0
1998-06-01,3.5,78.11974,81.39,0,0
1998-07-01,3.5,78.63513,82.38,0,0
1998-08-01,3.5,79.48917,83.52,1,0
1998-09-01,3.5,80.64658,84.44,1,0
1998-10-01,3.5,81.87037,84.97,1,0
1998-11-01,3.4,83.07798,85.16,1,0
1998-12-01,3.3,84.37936,85.4,1,0
1999-01-01,3.3,85.87001,86.23,1,0
1999-02-01,3.2,87.50119,87.22,1,0
1999-03-01,3.1,89.18933,88.29,1,0
1999-04-01,3,91.01304,89.09,1,0
1999-05-01,2.9,92.89939,89.97,1,0
1999-06-01,2.9,94.64287,91.28,1,0
1999-07-01,2.8,95.73138,92.89,1,0
1999-08-01,2.8,95.7858,94.28,1,0
1999-09-01,2.8,95.37477,95.6,1,0
1999-10-01,2.8,95.30795,96.76,1,0
1999-11-01,2.8,96.01999,98.51,1,0
1999-12-01,2.8,97.60402,100.03,0,0
2000-01-01,3.4,100,101.45,0,0
2000-02-01,3.4,102.85784,104.17,0,0
2000-03-01,3.4,105.90806,107.34,0,0
2000-04-01,3.4,108.85015,110.63,0,0
